Technique,Precision,Recall,F1,AUC,Train size,Size change (%)
Baseline,0.0,0.0,0.0,0.5471902937420179,4101,0.0
SMOTE(k=3),0.014388489208633094,0.1111111111111111,0.025477707006369428,0.5195721583652618,8118,97.95171909290417
SMOTE(k=5),0.014925373134328358,0.1111111111111111,0.02631578947368421,0.5336845466155811,8118,97.95171909290417
SMOTE(k=7),0.006578947368421052,0.05555555555555555,0.011764705882352941,0.49133141762452104,8118,97.95171909290417
ENN(k=3),0.0,0.0,0.0,0.5159482758620689,3960,-3.4381858083394294
ENN(k=5),0.0,0.0,0.0,0.5170977011494252,3875,-5.510851011948305
ENN(k=7),0.0,0.0,0.0,0.5382183908045978,3798,-7.388441843452817
"SMOTEENN(3,3)",0.014388489208633094,0.1111111111111111,0.025477707006369428,0.5195721583652618,8114,97.85418190685199
"SMOTEENN(5,5)",0.014925373134328358,0.1111111111111111,0.02631578947368421,0.534897828863346,8040,96.04974396488662
"SMOTEENN(3,5)",0.014814814814814815,0.1111111111111111,0.026143790849673203,0.5207854406130268,8081,97.04950012192148
"SMOTEENN(5,3)",0.014925373134328358,0.1111111111111111,0.02631578947368421,0.5336845466155811,8091,97.29334308705194
